palette_index,hex,r,g,b,face_count,face_share_percent
0,#CC983A,204,152,58,6349,37.94
1,#92330C,146,51,12,4412,26.37
3,#7E7423,126,116,35,3615,21.6
2,#C5B5A1,197,181,161,2279,13.62
4,#000000,0,0,0,79,0.47
