palette_index,hex,r,g,b,face_count,face_share_percent
1,#000000,0,0,0,6364,38.03
2,#CC983A,204,152,58,4513,26.97
0,#7E7423,126,116,35,2484,14.84
4,#92330C,146,51,12,2104,12.57
3,#C5B5A1,197,181,161,1269,7.58
